Type,Vehicle_Type,Vehicle_Segment,Country,Motor_Energy,Year,Units
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Alternative energy,2021,3.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Alternative energy,2022,3.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Alternative energy,2023,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Alternative energy,2024,7.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Biodiesel,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Biodiesel,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Biodiesel,2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Biodiesel,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Bioethanol,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Bioethanol,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Bioethanol,2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Bioethanol,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Diesel,2021,3660.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Diesel,2022,3731.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Diesel,2023,3811.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Diesel,2024,3935.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Diesel (excluding hybrids),2021,3660.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Diesel (excluding hybrids),2022,3731.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Diesel (excluding hybrids),2023,3811.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Diesel (excluding hybrids),2024,3935.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Electricity,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Electricity,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Electricity,2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Electricity,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Hybrid diesel-electric,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Hybrid diesel-electric,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Hybrid diesel-electric,2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Hybrid diesel-electric,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Hybrid electric-petrol,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Hybrid electric-petrol,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Hybrid electric-petrol,2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Hybrid electric-petrol,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Liquefied petroleum gases (LPG),2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Liquefied petroleum gases (LPG),2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Liquefied petroleum gases (LPG),2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Liquefied petroleum gases (LPG),2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Natural gas,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Natural gas,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Natural gas,2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Natural gas,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Other,2021,3.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Other,2022,3.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Other,2023,4.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Other,2024,7.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Petrol (excluding hybrids),2021,5.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Petrol (excluding hybrids),2022,5.0
